# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,1993,Africa & Asia (ex China),electricity,0.001874,EJ
FoodProcessing,1993,Africa & Asia (ex China),biomass,0.000116,EJ
FoodProcessing,1992,Africa & Asia (ex China),coal,0.015377,EJ
FoodProcessing,1992,Africa & Asia (ex China),refined liquids,0.015981,EJ
FoodProcessing,1992,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1992,Africa & Asia (ex China),electricity,0.00198,EJ
FoodProcessing,1992,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1991,Africa & Asia (ex China),coal,0.015928,EJ
FoodProcessing,1991,Africa & Asia (ex China),refined liquids,0.015461,EJ
FoodProcessing,1991,Africa & Asia (ex China),gas,0.000015,EJ
FoodProcessing,1991,Africa & Asia (ex China),electricity,0.002085,EJ
FoodProcessing,1991,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1990,Africa & Asia (ex China),coal,0.014956,EJ
FoodProcessing,1990,Africa & Asia (ex China),refined liquids,0.013896,EJ
FoodProcessing,1990,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1990,Africa & Asia (ex China),electricity,0.002094,EJ
FoodProcessing,1990,Africa & Asia (ex China),biomass,0.00207,EJ
FoodProcessing,1989,Africa & Asia (ex China),coal,0.012804,EJ
FoodProcessing,1989,Africa & Asia (ex China),refined liquids,0.017323,EJ
FoodProcessing,1989,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1989,Africa & Asia (ex China),electricity,0.002227,EJ
FoodProcessing,1989,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1988,Africa & Asia (ex China),coal,0.011911,EJ
FoodProcessing,1988,Africa & Asia (ex China),refined liquids,0.015342,EJ
FoodProcessing,1988,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1988,Africa & Asia (ex China),electricity,0.002343,EJ
FoodProcessing,1988,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1987,Africa & Asia (ex China),coal,0.008106,EJ
FoodProcessing,1987,Africa & Asia (ex China),refined liquids,0.012137,EJ
FoodProcessing,1987,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1987,Africa & Asia (ex China),electricity,0.001503,EJ
FoodProcessing,1987,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1986,Africa & Asia (ex China),coal,0.006854,EJ
FoodProcessing,1986,Africa & Asia (ex China),refined liquids,0.011414,EJ
FoodProcessing,1986,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1986,Africa & Asia (ex China),electricity,0.001529,EJ
FoodProcessing,1986,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,1985,Africa & Asia (ex China),coal,0.007339,EJ
FoodProcessing,1985,Africa & Asia (ex China),refined liquids,0.011097,EJ
